name,product id,price
"California Gold Nutrition, 鎂螯合物，90 片",90714,HK$57.20
"Vitables, 兒童鎂咀嚼片，櫻桃味，90 片素食片",94813,HK$62.51
"Thorne Research, 檸檬酸鎂，90 粒膠囊",18627,HK$138.92
"Thorne Research, 蘋果酸鈣鎂，240 粒膠囊",80811,HK$269.66
"Zahler, 鎂，200 毫克，250 粒膠囊",107217,HK$239.82
"Solgar, 檸檬酸鎂，60片",84119,HK$65.75
"Enzymedica, 鎂，運動，120 粒膠囊",114529,HK$255.49
"Enzymedica, 鎂，運動，60 粒膠囊",114531,HK$144.35
"Enzymedica, 鎂，心靈，60 粒膠囊",114528,HK$194.36
"Enzymedica, 鎂，心靈，120 粒膠囊",114530,HK$333.29
"MegaFood, 鎂，60 片",5563,HK$156.18
"Solgar, 螯合鎂，250片",64381,HK$190.96
"Solgar, 檸檬酸鎂，120 片裝",64171,HK$118.44
"MegaFood, 鎂，90 片",42542,HK$199.95
"NutraMedix, 蘋果酸鎂，120 粒素食膠囊",41836,HK$125.05
"Carlson, 鎂，350 毫克，180 粒膠囊",10268,HK$89.50
"Metabolic Maintenance, 檸檬酸鎂，250 粒膠囊",37562,HK$244.60
"Nordic Naturals, 鎂 複合物，90 粒膠囊",100772,HK$143.51
"Rainbow Light, 鎂鈣 +，180 片裝",1767,HK$182.33
"Mason Natural, 鈣與鎂，100 片",107569,HK$42.55
"Rainbow Light, 鎂鈣 +，90 片裝",17573,HK$99.78
"NOW Foods, 甘氨酸鎂 180 片",88819,HK$140.57
"Solgar, 檸檬酸鈣鎂，250 片",9247,HK$190.99
"NOW Foods, 鈣與鎂，250 片",453,HK$112.51
"Bausch + Lomb, Soothe，特強保溼潤滑眼滴劑，0.5 液量盎司（15 毫升）",,
"California Gold Nutrition, Epicor，乾酵母髮酵產物，500 毫克，120 粒素食膠囊",,
"Swanson, 三重功效褪黑荷爾蒙，10 毫克，60 粒膠囊",,
"Nature's Way, 南非醉茄，標準化，60粒素食膠囊",,
"Life Extension, 每日兩片多維生素，120 片",,
"California Gold Nutrition, 蝦青素，AstaLif 純冰島，12 毫克，30 粒素食軟凝膠",,
"Neocell, 超級膠原蛋白肽，原味，7 盎司（200 克）",,
"Doctor's Best, 葡萄糖胺軟骨素 MSM，含 OptiMSM，240 粒素食膠囊",,
